"record_id","area","line","number_replicates","tag","x_coordinate","y_coordinate","species_code","species","family","map","dead","height_map","height_1980","height_1986","height_1992","height_1998","height_2006","height_2013","girth_map","girth_1978","girth_1986","girth_1992","girth_1996","girth_2006","girth_2013","index_1","index_2","index_3","index_4","absx","absy","comment"
41033,"2","7",1,22380,1367.3,2.6,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,432.7,706.9,""
41035,"2","7",1,22515,1374.4,-3.3,12,"Argyrodendron actinophyllum","Malvaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.6,701,""
41036,"2","7",1,NA,1374.5,5.8,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,425.5,710.1,""
41038,"2","7",1,22537,1377.1,0.8,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422.9,705.1,""
41040,"2","7",1,NA,1378.6,2,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.4,706.3,""
41041,"2","7",1,NA,1378.7,2.1,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421.3,706.4,""
41042,"2","7",1,NA,1381.7,-2.3,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.3,702.1,""
41043,"2","7",1,NA,1381.7,5,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.3,709.4,""
41045,"2","7",1,22534,1382.9,2.2,12,"Argyrodendron actinophyllum","Malvaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417.1,706.6,""
41046,"2","7",1,22536,1383,0.4,97,"Synoum glandulosum","Meliaceae",2015,2017,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,417,704.8,""
41047,"2","7",1,22533,1383.2,1.8,37,"Diploglottis australis","Sapindaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,416.8,706.2,""
41049,"2","7",1,NA,1384.4,3.6,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,415.6,708,""
41050,"2","7",1,22519,1385.5,-3.6,12,"Argyrodendron actinophyllum","Malvaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.5,700.8,""
41051,"2","7",1,NA,1385.9,-3.3,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.1,701.1,""
41052,"2","7",1,NA,1385.9,-0.3,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414.1,704.1,""
41053,"2","7",1,22532,1386.1,1.5,97,"Synoum glandulosum","Meliaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.9,705.9,""
41054,"2","7",1,NA,1386.2,-3.8,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.8,700.6,""
41055,"2","7",1,NA,1386.3,1.2,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.7,705.6,""
41056,"2","7",1,22531,1386.5,1.3,12,"Argyrodendron actinophyllum","Malvaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.5,705.7,""
41057,"2","7",1,22520,1387.3,-0.6,12,"Argyrodendron actinophyllum","Malvaceae",2015,2017,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.7,703.8,""
41058,"2","7",3,NA,1387.9,-2.4,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,412.1,702,""
41059,"2","7",1,NA,1388.5,2.1,81,"Psychotria simmondsiana glabrescens","Rubiaceae",2015,2017,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411.5,706.5,""
