"model","ssp_scenario","threshold_val","sample_id","Damage"
"MPI-ESM1-2-LR","ssp370",0.5,16,223933110.074106
"ACCESS-CM2","historical",0.2,17,597191661.434387
"CNRM-CM6-1-HR","historical",0.2,17,801449897.252335
"MPI-ESM1-2-LR","historical",0.2,17,646551519.719353
"ACCESS-CM2","ssp126",0.2,17,603672666.293807
"CNRM-CM6-1-HR","ssp126",0.2,17,603665500.303337
"MPI-ESM1-2-LR","ssp126",0.2,17,675146464.871894
"ACCESS-CM2","ssp245",0.2,17,722526615.814167
"CNRM-CM6-1-HR","ssp245",0.2,17,573673777.972898
"MPI-ESM1-2-LR","ssp245",0.2,17,476545455.010762
"ACCESS-CM2","ssp370",0.2,17,518230552.704055
"CNRM-CM6-1-HR","ssp370",0.2,17,590063458.635117
"MPI-ESM1-2-LR","ssp370",0.2,17,430837912.30712
"ACCESS-CM2","historical",0.5,17,357370272.631313
"CNRM-CM6-1-HR","historical",0.5,17,454195160.587576
"MPI-ESM1-2-LR","historical",0.5,17,307064009.075355
"ACCESS-CM2","ssp126",0.5,17,278788163.77848
"CNRM-CM6-1-HR","ssp126",0.5,17,265122954.374867
"MPI-ESM1-2-LR","ssp126",0.5,17,357760877.840101
"ACCESS-CM2","ssp245",0.5,17,297035638.667323
"CNRM-CM6-1-HR","ssp245",0.5,17,231175236.242712
"MPI-ESM1-2-LR","ssp245",0.5,17,199352688.454276
"ACCESS-CM2","ssp370",0.5,17,331437740.208497
"CNRM-CM6-1-HR","ssp370",0.5,17,307257631.84521
"MPI-ESM1-2-LR","ssp370",0.5,17,183146755.071093
"ACCESS-CM2","historical",0.2,18,680442073.967383
"CNRM-CM6-1-HR","historical",0.2,18,913198293.556461
"MPI-ESM1-2-LR","historical",0.2,18,736669073.287779
"ACCESS-CM2","ssp126",0.2,18,687831538.51679
"CNRM-CM6-1-HR","ssp126",0.2,18,687819251.24793
"MPI-ESM1-2-LR","ssp126",0.2,18,769295619.04503
"ACCESS-CM2","ssp245",0.2,18,823214705.164482
"CNRM-CM6-1-HR","ssp245",0.2,18,653657047.890668
"MPI-ESM1-2-LR","ssp245",0.2,18,542996037.219147
"ACCESS-CM2","ssp370",0.2,18,590481556.326268
"CNRM-CM6-1-HR","ssp370",0.2,18,672334074.652502
"MPI-ESM1-2-LR","ssp370",0.2,18,490885334.022111
"ACCESS-CM2","historical",0.5,18,407190270.417145
"CNRM-CM6-1-HR","historical",0.5,18,517529814.503812
"MPI-ESM1-2-LR","historical",0.5,18,349850734.354508
"ACCESS-CM2","ssp126",0.5,18,317623922.138699
"CNRM-CM6-1-HR","ssp126",0.5,18,302065322.362058
"MPI-ESM1-2-LR","ssp126",0.5,18,407644617.074703
"ACCESS-CM2","ssp245",0.5,18,338409725.027741
"CNRM-CM6-1-HR","ssp245",0.5,18,263394043.705704
"MPI-ESM1-2-LR","ssp245",0.5,18,227122264.201342
"ACCESS-CM2","ssp370",0.5,18,377634687.818513
"CNRM-CM6-1-HR","ssp370",0.5,18,350094312.261241
"MPI-ESM1-2-LR","ssp370",0.5,18,208650749.233249
"ACCESS-CM2","historical",0.2,19,657409811.078746
"CNRM-CM6-1-HR","historical",0.2,19,882242808.650133
"MPI-ESM1-2-LR","historical",0.2,19,711793603.888157
"ACCESS-CM2","ssp126",0.2,19,664520944.591967
"CNRM-CM6-1-HR","ssp126",0.2,19,664531963.642853
"MPI-ESM1-2-LR","ssp126",0.2,19,743161590.445951
"ACCESS-CM2","ssp245",0.2,19,795467917.892958
"CNRM-CM6-1-HR","ssp245",0.2,19,631489897.938513
"MPI-ESM1-2-LR","ssp245",0.2,19,524541045.793021
"ACCESS-CM2","ssp370",0.2,19,570434187.768946
"CNRM-CM6-1-HR","ssp370",0.2,19,649530907.200218
"MPI-ESM1-2-LR","ssp370",0.2,19,474285476.642838
